title,original_price,sale_price,upper,ground,len_score,foot_score,weight(g),image_url,url,silo_x,brand,silo_y,silo_kor,position1,position2,position3,feature
나이키 팬텀 GX II 엘리트 FG NU1  ,309000,309000,"합성가죽, 니트",천연잔디,4.0,3.0,184,https://www.crazy11.co.kr/shopimages/winv007/001004003061.jpg?1739172664,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=809384&xcode=257&mcode=001&scode=002&type=Y&sort=order&cur_code=257&search=&GfDT=Zmd3U10%3D,팬텀,NIKE,phantom,팬텀,FW, MF,,control
나이키 팬텀 GX II 프로 AG-PRO ,179000,147000,합성가죽,인조잔디,4.0,3.0,198,https://www.crazy11.co.kr/shopimages/winv007/001004003021.jpg?1733717929,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=807963&xcode=257&mcode=001&scode=002&type=Y&sort=order&cur_code=257&search=&GfDT=bmx0W19E,팬텀,NIKE,phantom,팬텀,FW, MF,,control
나이키 팬텀 GX 아카데미 FGMG ,99000,59000,합성가죽,"천연잔디, 인조잔디, 맨땅",3.0,1.0,220,https://www.crazy11.co.kr/shopimages/winv007/001004002881.jpg?1733718003,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=805555&xcode=257&mcode=001&scode=002&type=Y&sort=order&cur_code=257&search=&GfDT=bmx8W18%3D,팬텀,NIKE,phantom,팬텀,FW, MF,,control
나이키 팬텀 루나 II 아카데미 MG ,129000,99000,합성가죽,"천연잔디, 인조잔디, 맨땅",3.0,2.0,196,https://www.crazy11.co.kr/shopimages/winv007/001004002995.jpg?1733717956,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=807373&xcode=257&mcode=001&scode=002&type=Y&sort=order&cur_code=257&search=&GfDT=amt3WQ%3D%3D,팬텀,NIKE,phantom,팬텀,FW, MF,,control
나이키 팬텀 루나 II 엘리트 FG  ,329000,329000,"합성가죽, 니트",천연잔디,4.0,4.0,190,https://www.crazy11.co.kr/shopimages/winv007/001004003055.jpg?1736727062,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=809142&xcode=257&mcode=001&scode=002&type=Y&sort=order&cur_code=257&search=&GfDT=am53UlQ%3D,팬텀,NIKE,phantom,팬텀,FW, MF,,control
나이키 팬텀 루나 II 엘리트 FG AS  ,339000,239000,"합성가죽, 니트",천연잔디,4.0,4.0,190,https://www.crazy11.co.kr/shopimages/winv007/001004002965.jpg?1721882079,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=807150&xcode=257&mcode=001&scode=002&type=Y&sort=order&cur_code=257&search=&GfDT=aGl3UFQ%3D,팬텀,NIKE,phantom,팬텀,FW, MF,,control
나이키 팬텀 루나 엘리트 FG  ,329000,169000,"인조가죽, 합성가죽, 니트",천연잔디,3.0,1.0,208,https://www.crazy11.co.kr/shopimages/winv007/001004002903.jpg?1733718005,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=805850&xcode=257&mcode=001&scode=002&type=Y&sort=order&cur_code=257&search=&GfDT=aWV%2FVw%3D%3D,팬텀,NIKE,phantom,팬텀,FW, MF,,control
미즈노 모나르시다 네오 III SW MD ,159000,119000,인조가죽,"천연잔디, 인조잔디, 맨땅",2.0,4.0,220,https://www.crazy11.co.kr/shopimages/winv007/001002001022.jpg?1733717978,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=806802&xcode=257&mcode=003&scode=002&type=Y&sort=order&cur_code=257&search=&GfDT=a2Z3Vg%3D%3D,모나르시다,mizuno,monarcida,모나르시다, MF, DF,,comfortable
미즈노 모나르시다 네오 III 엘리트 MD ,209000,159000,"캥거루, 인조가죽","천연잔디, 인조잔디, 맨땅",2.0,3.0,166,https://www.crazy11.co.kr/shopimages/winv007/001002001043.jpg?1733717916,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=808294&xcode=257&mcode=003&scode=002&type=Y&sort=order&cur_code=257&search=&GfDT=bm97W1k%3D,모나르시다,mizuno,monarcida,모나르시다, MF, DF,,comfortable
미즈노 모나르시다 네오 셀렉트 III AG ,99000,75000,인조가죽,인조잔디,2.0,4.0,190,https://www.crazy11.co.kr/shopimages/winv007/001002001033.jpg?1733717928,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=807954&xcode=257&mcode=003&scode=002&type=Y&sort=order&cur_code=257&search=&GfDT=Z2V5,모나르시다,mizuno,monarcida,모나르시다, MF, DF,,comfortable
미즈노 모나르시다 네오 셀렉트 III AG 와이드 ,99000,79000,인조가죽,인조잔디,2.0,3.0,223,https://www.crazy11.co.kr/shopimages/winv007/001002001053.jpg?1733717887,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=808665&xcode=257&mcode=003&scode=002&type=Y&sort=order&cur_code=257&search=&GfDT=bW53Ulw%3D,모나르시다,mizuno,monarcida,모나르시다, MF, DF,,comfortable
