,position,country,name,club,boots,age,height,name_ko,id,team_name,eng_name_x,color_x,img,boots_ko,boots_img,img_src,position_ko,country_ko
13,Forward,Algeria,Andy Delort,Montpellier HSC,Puma Ultra Ultimate,33,181,앤디 델로르,0,몽펠리에,Montpellier HSC,#40547D,https://images.fotmob.com/image_resources/playerimages/183530.png,퓨마 울트라 Ultimate,https://www.footballbootsdb.com/logos/boots/2023/04/64317eee4690c.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/10249.png,공격수,알제리
14,Forward,Guinea-bissau,Beto,Everton,Puma Future 7 Ultimate,27,194,베투,0,에버턴,Everton,#0035B8,https://images.fotmob.com/image_resources/playerimages/1079485.png,퓨마 퓨처 7 Ultimate,https://www.footballbootsdb.com/logos/boots/2024/10/6703aad2e6ebd.png,https://images.fotmob.com/image_resources/logo/teamlogo/8668.png,공격수,기니 비수아
15,Midfielder,Mali,Boubacar Traoré,Wolves,Nike Mercurial Vapor 16 Elite,23,183,부바카르 트라오레,0,울버햄튼 원더러스,Wolves,#EB9504,https://images.fotmob.com/image_resources/playerimages/1054122.png,나이키 머큐리얼 베이퍼 16 Elite,https://www.footballbootsdb.com/logos/boots/2024/10/671969c4b1e92.png,https://images.fotmob.com/image_resources/logo/teamlogo/8602.png,미드필더,말리
16,Forward,Denmark,Christian Gytkjaer,Venezia FC,Nike Mercurial Vapor 14 Elite,34,185,크리스티안 기트키에르,0,베네치아,Venezia FC,#101010,https://images.fotmob.com/image_resources/playerimages/121086.png,나이키 머큐리얼 베이퍼 14 Elite,https://www.footballbootsdb.com/logos/boots/2022/06/62b43c83c267f.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/7881.png,공격수,덴마크
17,Midfielder,Portugal,David Pereira da Costa,RC Lens,adidas Predator Elite LL,24,168,다비드 페레이라 다 코스타,0,랑스,RC Lens,#D89F00,https://images.fotmob.com/image_resources/playerimages/1138769.png,아디다스 프레데터 Elite LL,https://www.footballbootsdb.com/logos/boots/2024/09/66ed90b7735d2.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/8588.png,미드필더,포르투갈
18,Midfielder,Slovenia,Domen Crnigoj,Venezia FC,Nike Mercurial Vapor 14 Elite,29,188,도멘 츠르니고이,0,베네치아,Venezia FC,#101010,https://images.fotmob.com/image_resources/playerimages/340790.png,나이키 머큐리얼 베이퍼 14 Elite,https://www.footballbootsdb.com/logos/boots/2022/06/62b43c83c267f.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/7881.png,미드필더,슬로베니아
19,Forward,Paraguay,Enso González,Wolves,Nike Tiempo Legend 10 Elite,20,169,엔소 곤살레스,0,울버햄튼 원더러스,Wolves,#EB9504,https://images.fotmob.com/image_resources/playerimages/1458595.png,나이키 티엠포 레전드 10 Elite,https://www.footballbootsdb.com/logos/boots/2024/10/67196ae75b2b2.png,https://images.fotmob.com/image_resources/logo/teamlogo/8602.png,공격수,파라과이
20,Defender,Serbia,Erhan Masovic,VfL Bochum,Nike Tiempo Legend 10 Elite,26,189,에르한 마소비치,0,보훔,VfL Bochum,#0868B0,https://images.fotmob.com/image_resources/playerimages/763313.png,나이키 티엠포 레전드 10 Elite,https://www.footballbootsdb.com/logos/boots/2024/10/67196ae75b2b2.png,https://images.fotmob.com/image_resources/logo/teamlogo/9911.png,수비수,세르비아
21,Goalkeeper,Serbia,Filip Stankovic,Venezia FC,adidas Predator Elite,23,187,필리프 스타노코비치,0,베네치아,Venezia FC,#101010,https://images.fotmob.com/image_resources/playerimages/1130600.png,아디다스 프레데터 Elite,https://www.footballbootsdb.com/logos/boots/2024/09/66ed8e8e33c30.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/7881.png,골키퍼,세르비아
22,Midfielder,Germany,Finn Becker,1899 Hoffenheim,Nike Mercurial Vapor 15 Elite,24,177,핀 베커,0,호펜하임,1899 Hoffenheim,#005098,https://images.fotmob.com/image_resources/playerimages/1039779.png,나이키 머큐리얼 베이퍼 15 Elite,https://www.footballbootsdb.com/logos/boots/2024/05/664d019fb62c0.png,https://images.fotmob.com/image_resources/logo/teamlogo/8226.png,미드필더,독일
